symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
TLCPO,Telecom Argentina S.A.,AA+(arg),AA,Telecomunicaciones,USD,111.35,0.051269,5.6509,0.167,79.2,12.0,6.0,0.25,cross_credit,116.2079,4.36,4.47,confirmed,bullet,14,100.0,90.0,96.6,91.7,96.0,0.0,17.98,MEP,48.9,False,NEUTRO,,,0,False,2033-05-28
TLCWO,Telecom Argentina S.A.,AA+(arg),AA,Telecomunicaciones,USD,100.65,0.092712,3.3535,2.039,428.0,6.0,4.0,0.333,cross_credit,114.4565,13.72,14.35,estimated,bullet,8,60.3,70.2,66.5,69.4,85.5,0.0,105.64,MEP,0.0,False,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,cashflow_estimado,1,False,2030-05-29
TSC3O,[TSC],,Unrated,Sin mapear,USD,113.1,0.062868,4.1341,0.43,143.5,9.0,4.0,0.0,cross_credit,119.6055,5.75,5.93,mae,bullet,11,82.6,81.3,78.4,87.5,87.7,0.0,18.93,MEP,73.0,False,NEUTRO,,,0,False,2031-07-24
TTC8O,Tecpetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,102.0,0.041275,1.2872,-0.362,-34.3,20.0,8.0,0.05,cross_credit,101.5582,-0.43,-0.44,mae,bullet,3,69.8,74.9,52.1,22.2,76.6,0.0,208.1,MEP,0.0,False,NEUTRO,,,0,False,2027-10-24
TTC9O,Tecpetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,105.0,0.055252,3.0062,0.367,30.5,20.0,8.0,0.05,cross_credit,105.9374,0.89,0.92,confirmed,bullet,7,91.2,85.6,78.0,36.1,75.4,0.0,61.980000000000004,MEP,0.0,False,NEUTRO,,,0,False,2029-10-24
TTCAO,Tecpetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,112.25,0.057144,4.552,-0.787,-38.7,10.0,5.0,0.0,cross_credit,110.3298,-1.71,-1.76,mae,amortizing,14,83.0,81.5,58.9,30.6,80.5,0.0,78.96,MEP,0.0,False,NEUTRO,,,0,False,2033-01-22
TTCEO,Tecpetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,100.9,0.04851,2.7221,-0.245,-19.5,21.0,8.0,0.095,cross_credit,100.3775,-0.52,-0.53,estimated,bullet,6,57.1,68.5,80.6,47.2,87.3,0.0,43.78,MEP,0.0,False,NEUTRO,,,0,False,2029-05-21
VSCOO,Vista Oil & Gas Argentina S.A.U.,,Unrated,Energía - Petróleo y Gas,USD,108.65,-0.029494,0.6728,-4.35,-868.1,6.0,4.0,0.333,cross_credit,102.2097,-5.93,-5.84,mae,bullet,2,68.2,74.1,77.5,77.8,75.6,0.0,55.21,MEP,0.0,False,POTENCIALMENTE_CARO,POTENCIALMENTE CARO,,0,False,2027-03-06
VSCPO,Vista Oil & Gas Argentina S.A.U.,,Unrated,Energía - Petróleo y Gas,USD,106.7,0.05199,1.955,0.201,82.5,6.0,4.0,0.333,cross_credit,108.3778,1.57,1.61,mae,amortizing,6,72.6,76.3,69.5,29.2,86.0,0.0,50.81,MEP,0.0,False,NEUTRO,,,0,False,2029-05-03
VSCQO,Vista Oil & Gas Argentina S.A.U.,,Unrated,Energía - Petróleo y Gas,USD,93.4,0.069358,1.9604,0.724,285.1,6.0,4.0,0.333,cross_credit,98.4461,5.4,5.59,mae,bullet,9,79.4,79.7,38.8,0.0,52.6,0.0,561.27,MEP,0.0,False,NEUTRO,,,0,False,2028-07-08
VSCRO,Vista Oil & Gas Argentina S.A.U.,,Unrated,Energía - Petróleo y Gas,USD,109.0,0.056923,3.7014,0.231,77.5,9.0,5.0,0.444,cross_credit,112.0382,2.79,2.87,mae,amortizing,11,80.6,80.3,96.2,95.8,94.7,0.0,26.369999999999997,MEP,76.5,False,NEUTRO,,,0,False,2031-10-10
VSCTO,Vista Oil & Gas Argentina S.A.U.,,Unrated,Energía - Petróleo y Gas,USD,107.35,0.065317,6.4386,0.514,170.7,9.0,5.0,0.444,cross_credit,118.7765,10.64,10.99,mae,amortizing,19,83.0,81.5,70.9,52.8,81.1,0.0,58.81999999999999,MEP,0.0,False,NEUTRO,,,0,False,2035-12-10
XMC1O,Minera Exar S.A.,AA(arg),AA,Minería - Litio,USD,102.5,0.066264,1.0834,0.736,379.2,8.0,4.0,0.0,cross_credit,106.576,3.98,4.11,mae,amortizing,3,67.8,73.9,62.7,31.9,79.8,0.0,100.59,MEP,0.0,False,NEUTRO,,,0,False,2027-11-11
