entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
CNH Industrial Capital Argentina S.A.,2026-05-06,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Clase 11 de ...,,AA(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVI,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVI,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFB,,A-sf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVI,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,CP,,B-sf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVII,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVII,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFB,,BBBsf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVIII,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
Comafi Leasing PyMEs XVIII,2026-03-04,Argentina,Finanzas Estructuradas,Leasing,VDFB,,BBBsf(arg),Perspectiva Estable,Confirma
Compañía Financiera Argentina S.A.,2026-04-27,Argentina,Entidades Financieras,Entidades Financieras,Endeudamiento de Largo Plazo,B(arg),BB+(arg),Perspectiva Negativa,Confirma
Compañía Financiera Argentina S.A.,2026-04-27,Argentina,Entidades Financieras,Entidades Financieras,Obligaciones Negociables Subordinadas ...,,BB(arg),Perspectiva Negativa,Confirma
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Emisor,,AA-(arg),Perspectiva Estable,Confirma
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 23 po ...,,AA-(arg),Perspectiva Estable,Confirma
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 27 po ...,,AA-(arg),Perspectiva Estable,Confirma
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 28 po ...,,AA-(arg),Perspectiva Estable,Confirma
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 31 Po ...,,AA-(arg),Perspectiva Estable,Confirma
